date,value
2024-09-07,223.0
2024-09-14,319.0
2024-09-21,293.0
2024-09-28,223.0
2024-10-05,286.0
2024-10-12,295.0
2024-10-19,556.0
2024-10-26,1087.0
2024-11-02,1009.0
2024-11-09,2161.0
2024-11-16,2608.0
2024-11-23,3275.0
2024-11-30,4435.0
2024-12-07,6513.0
2024-12-14,9586.0
2024-12-21,16109.0
2024-12-28,28631.0
2025-01-04,39599.0
2025-01-11,31790.0
2025-01-18,33627.0
2025-01-25,41360.0
2025-02-01,52467.0
2025-02-08,55480.0
2025-02-15,47775.0
2025-02-22,39278.0
2025-03-01,31895.0
2025-03-08,24682.0
2025-03-15,18850.0
2025-03-22,14029.0
2025-03-29,9959.0
2025-04-05,6972.0
2025-04-12,5055.0
2025-04-19,3964.0
2025-04-26,3306.0
